timestamp,baz_max,baz_mid,baz_max_std,baz_mid_std,baz_max_mad,baz_mid_mad,count_max,count_mid
2024-01-28 00:30:00,309.0,280.0,32.0,36.0,131.0,96.0,84.0,54.0
2024-01-28 01:30:00,323.0,320.0,31.0,31.0,146.0,138.0,83.0,74.0
2024-01-28 02:30:00,314.0,304.0,32.0,41.0,134.0,116.0,86.0,59.0
2024-01-28 03:30:00,312.0,290.0,46.0,34.0,128.0,104.0,76.0,58.0
2024-01-28 04:30:00,312.0,287.0,27.0,30.0,130.0,98.0,78.0,57.0
2024-01-28 05:30:00,318.0,304.0,37.0,35.0,136.0,122.0,91.0,66.0
2024-01-28 06:30:00,309.0,307.0,46.0,42.0,128.0,128.0,78.0,67.0
2024-01-28 07:30:00,319.0,305.0,25.0,24.0,143.0,126.0,71.0,56.0
2024-01-28 08:30:00,326.0,310.0,31.0,28.0,151.0,134.0,76.0,45.0
2024-01-28 09:30:00,322.0,315.0,48.0,40.0,140.0,136.0,65.0,43.0
2024-01-28 10:30:00,326.0,310.0,36.0,35.0,139.0,124.0,79.0,60.0
2024-01-28 11:30:00,332.0,318.0,32.0,36.0,143.0,133.0,61.0,42.0
2024-01-28 12:30:00,331.0,319.0,45.0,47.0,146.0,134.0,76.0,50.0
2024-01-28 13:30:00,328.0,293.0,32.0,31.0,146.0,116.0,62.0,44.0
2024-01-28 14:30:00,327.0,309.0,40.0,37.0,144.0,127.0,74.0,50.0
2024-01-28 15:30:00,320.0,286.0,41.0,44.0,136.0,96.0,70.0,54.0
2024-01-28 16:30:00,319.0,317.0,33.0,36.0,137.0,130.0,59.0,43.0
2024-01-28 17:30:00,320.0,321.0,45.0,43.0,136.0,130.0,66.0,46.0
2024-01-28 18:30:00,325.0,319.0,49.0,42.0,142.0,136.0,56.0,36.0
2024-01-28 19:30:00,318.0,309.0,46.0,44.0,130.0,122.0,64.0,48.0
2024-01-28 20:30:00,333.0,314.0,38.0,33.0,145.0,132.0,63.0,42.0
2024-01-28 21:30:00,330.0,325.0,42.0,35.0,149.0,138.0,53.0,30.0
2024-01-28 22:30:00,327.0,310.0,43.0,36.0,141.0,126.0,65.0,43.0
2024-01-28 23:30:00,311.0,280.0,42.0,44.0,127.0,98.0,63.0,47.0
