timestamp,baz_max,baz_mid,baz_max_std,baz_mid_std,baz_max_mad,baz_mid_mad,count_max,count_mid
2024-01-04 00:30:00,280.0,305.0,37.0,27.0,98.0,139.0,34.0,20.0
2024-01-04 01:30:00,270.0,278.0,36.0,36.0,88.0,98.0,43.0,30.0
2024-01-04 02:30:00,266.0,271.0,45.0,41.0,82.0,88.0,24.0,20.0
2024-01-04 03:30:00,239.0,291.0,53.0,56.0,66.0,135.0,16.0,8.0
2024-01-04 04:30:00,316.0,303.0,54.0,34.0,135.0,124.0,20.0,11.0
2024-01-04 05:30:00,275.0,,79.0,,102.0,,12.0,
2024-01-04 06:30:00,276.0,266.0,66.0,57.0,76.0,82.0,19.0,12.0
2024-01-04 07:30:00,283.0,285.0,59.0,63.0,95.0,92.0,15.0,12.0
2024-01-04 08:30:00,250.0,233.0,53.0,51.0,70.0,50.0,16.0,10.0
2024-01-04 09:30:00,251.0,,31.0,,76.0,,8.0,
2024-01-04 10:30:00,258.0,256.0,41.0,42.0,80.0,76.0,14.0,13.0
2024-01-04 11:30:00,256.0,256.0,46.0,35.0,58.0,75.0,15.0,11.0
2024-01-04 12:30:00,285.0,,39.0,,110.0,,7.0,
2024-01-04 13:30:00,296.0,311.0,66.0,64.0,107.0,181.0,13.0,8.0
2024-01-04 14:30:00,258.0,246.0,48.0,59.0,77.0,64.0,9.0,6.0
2024-01-04 15:30:00,241.0,,62.0,,74.0,,11.0,
2024-01-04 16:30:00,283.0,,30.0,,94.0,,15.0,
2024-01-04 17:30:00,329.0,,50.0,,125.0,,9.0,
2024-01-04 18:30:00,251.0,283.0,46.0,35.0,67.0,114.0,19.0,12.0
2024-01-04 19:30:00,303.0,,17.0,,128.0,,8.0,
2024-01-04 20:30:00,,,,,,,,
2024-01-04 21:30:00,270.0,,18.0,,88.0,,13.0,
2024-01-04 22:30:00,,,,,,,,
2024-01-04 23:30:00,,,,,,,,
