timestamp,baz_max,baz_mid,baz_max_std,baz_mid_std,baz_max_mad,baz_mid_mad,count_max,count_mid,year
2024-01-01 00:30:00,272.0,289.0,22.0,30.0,91.0,122.0,117.0,96.0,2024
2024-01-01 01:30:00,267.0,267.0,18.0,25.0,84.0,82.0,108.0,85.0,2024
2024-01-01 02:30:00,263.0,276.0,20.0,24.0,80.0,98.0,112.0,90.0,2024
2024-01-01 03:30:00,270.0,276.0,25.0,29.0,90.0,98.0,103.0,78.0,2024
2024-01-01 04:30:00,272.0,270.0,21.0,29.0,95.0,93.0,95.0,79.0,2024
2024-01-01 05:30:00,271.0,274.0,22.0,30.0,91.0,98.0,71.0,49.0,2024
2024-01-01 06:30:00,268.0,259.0,33.0,26.0,89.0,78.0,61.0,42.0,2024
2024-01-01 07:30:00,51.0,56.0,87.0,81.0,117.0,110.0,64.0,49.0,2024
2024-01-01 08:30:00,66.0,60.0,53.0,50.0,110.0,116.0,51.0,41.0,2024
2024-01-01 09:30:00,242.0,,30.0,,58.0,,10.0,,2024
2024-01-01 10:30:00,275.0,274.0,27.0,24.0,98.0,92.0,24.0,19.0,2024
2024-01-01 11:30:00,272.0,281.0,52.0,42.0,95.0,102.0,31.0,23.0,2024
2024-01-01 12:30:00,266.0,265.0,40.0,46.0,86.0,78.0,26.0,16.0,2024
2024-01-01 13:30:00,265.0,268.0,34.0,21.0,85.0,88.0,49.0,25.0,2024
2024-01-01 14:30:00,267.0,268.0,33.0,28.0,89.0,85.0,43.0,28.0,2024
2024-01-01 15:30:00,270.0,285.0,33.0,23.0,85.0,110.0,36.0,23.0,2024
2024-01-01 16:30:00,275.0,263.0,24.0,21.0,94.0,80.0,50.0,28.0,2024
2024-01-01 17:30:00,279.0,278.0,36.0,24.0,102.0,90.0,48.0,35.0,2024
2024-01-01 18:30:00,288.0,297.0,43.0,30.0,108.0,130.0,44.0,36.0,2024
2024-01-01 19:30:00,283.0,278.0,24.0,27.0,110.0,102.0,55.0,40.0,2024
2024-01-01 20:30:00,283.0,301.0,31.0,31.0,102.0,122.0,50.0,37.0,2024
