timestamp,baz_max,baz_mid,baz_max_std,baz_mid_std,baz_max_mad,baz_mid_mad,count_max,count_mid
2024-01-25 00:30:00,290.0,281.0,32.0,27.0,111.0,100.0,67.0,52.0
2024-01-25 01:30:00,292.0,290.0,32.0,24.0,110.0,110.0,80.0,57.0
2024-01-25 02:30:00,301.0,287.0,38.0,35.0,121.0,106.0,67.0,48.0
2024-01-25 03:30:00,278.0,287.0,29.0,26.0,96.0,102.0,79.0,62.0
2024-01-25 04:30:00,303.0,280.0,38.0,30.0,128.0,104.0,55.0,42.0
2024-01-25 05:30:00,279.0,282.0,36.0,33.0,97.0,102.0,54.0,42.0
2024-01-25 06:30:00,295.0,293.0,57.0,53.0,109.0,118.0,41.0,33.0
2024-01-25 07:30:00,307.0,307.0,26.0,21.0,133.0,134.0,71.0,52.0
2024-01-25 08:30:00,294.0,287.0,40.0,32.0,113.0,104.0,53.0,33.0
2024-01-25 09:30:00,296.0,289.0,50.0,37.0,110.0,104.0,49.0,33.0
2024-01-25 10:30:00,289.0,286.0,27.0,20.0,96.0,106.0,35.0,26.0
2024-01-25 11:30:00,328.0,316.0,45.0,35.0,144.0,128.0,41.0,29.0
2024-01-25 12:30:00,326.0,305.0,47.0,48.0,142.0,118.0,43.0,30.0
2024-01-25 13:30:00,322.0,315.0,46.0,54.0,139.0,136.0,30.0,21.0
2024-01-25 14:30:00,305.0,311.0,37.0,42.0,119.0,125.0,37.0,26.0
2024-01-25 15:30:00,313.0,305.0,27.0,20.0,130.0,136.0,64.0,41.0
2024-01-25 16:30:00,318.0,276.0,33.0,32.0,147.0,88.0,68.0,55.0
2024-01-25 17:30:00,267.0,272.0,36.0,34.0,80.0,86.0,63.0,46.0
2024-01-25 18:30:00,307.0,298.0,30.0,32.0,132.0,118.0,67.0,49.0
2024-01-25 19:30:00,300.0,281.0,39.0,40.0,120.0,98.0,72.0,56.0
2024-01-25 20:30:00,313.0,302.0,39.0,45.0,132.0,117.0,68.0,42.0
2024-01-25 21:30:00,322.0,295.0,31.0,29.0,150.0,112.0,70.0,53.0
2024-01-25 22:30:00,313.0,306.0,33.0,29.0,131.0,124.0,67.0,49.0
2024-01-25 23:30:00,294.0,287.0,36.0,30.0,116.0,96.0,66.0,49.0
